sensor_id,room_number,room_type,type,attached_to,apartment,cluster_name,sensor_iri,measurement_point_iri,room_iri,asset_iri,water_kind_iri
S0142,R039,Shared bathroom,hot water consumption,Shower,,CL_D,https://w3id.org/eautonome/hsbSensorS0142,https://w3id.org/eautonome/hsbMeasurementPointS0142,https://w3id.org/eautonome/hsbRoomR039,https://w3id.org/eautonome/hsbAssetS0142,https://w3id.org/eautonome/hsbHotWater
S0143,R040,Shared bathroom,cold water consumption,Shower,,CL_D,https://w3id.org/eautonome/hsbSensorS0143,https://w3id.org/eautonome/hsbMeasurementPointS0143,https://w3id.org/eautonome/hsbRoomR040,https://w3id.org/eautonome/hsbAssetS0143,https://w3id.org/eautonome/hsbColdWater
S0144,R040,Shared bathroom,hot water consumption,Shower,,CL_D,https://w3id.org/eautonome/hsbSensorS0144,https://w3id.org/eautonome/hsbMeasurementPointS0144,https://w3id.org/eautonome/hsbRoomR040,https://w3id.org/eautonome/hsbAssetS0144,https://w3id.org/eautonome/hsbHotWater
S0145,R039,Shared bathroom,cold water consumption,Shower,,CL_D,https://w3id.org/eautonome/hsbSensorS0145,https://w3id.org/eautonome/hsbMeasurementPointS0145,https://w3id.org/eautonome/hsbRoomR039,https://w3id.org/eautonome/hsbAssetS0145,https://w3id.org/eautonome/hsbColdWater
S0146,R039,Shared bathroom,cold water consumption,Toilet,,CL_D,https://w3id.org/eautonome/hsbSensorS0146,https://w3id.org/eautonome/hsbMeasurementPointS0146,https://w3id.org/eautonome/hsbRoomR039,https://w3id.org/eautonome/hsbAssetS0146,https://w3id.org/eautonome/hsbColdWater
S0147,R039,Shared bathroom,cold water consumption,Toilet,,CL_D,https://w3id.org/eautonome/hsbSensorS0147,https://w3id.org/eautonome/hsbMeasurementPointS0147,https://w3id.org/eautonome/hsbRoomR039,https://w3id.org/eautonome/hsbAssetS0147,https://w3id.org/eautonome/hsbColdWater
S0148,R036,Living room,cold water consumption,Toilet,APT_025,CL_D,https://w3id.org/eautonome/hsbSensorS0148,https://w3id.org/eautonome/hsbMeasurementPointS0148,https://w3id.org/eautonome/hsbRoomR036,https://w3id.org/eautonome/hsbAssetS0148,https://w3id.org/eautonome/hsbColdWater
S0149,R038,Living room,hot water consumption,Kitchen tap,APT_028,CL_D,https://w3id.org/eautonome/hsbSensorS0149,https://w3id.org/eautonome/hsbMeasurementPointS0149,https://w3id.org/eautonome/hsbRoomR038,https://w3id.org/eautonome/hsbAssetS0149,https://w3id.org/eautonome/hsbHotWater
S0150,R038,Living room,cold water consumption,Kitchen tap,APT_028,CL_D,https://w3id.org/eautonome/hsbSensorS0150,https://w3id.org/eautonome/hsbMeasurementPointS0150,https://w3id.org/eautonome/hsbRoomR038,https://w3id.org/eautonome/hsbAssetS0150,https://w3id.org/eautonome/hsbColdWater
S0151,R037,Living room,hot water consumption,Kitchen tap,APT_019,CL_D,https://w3id.org/eautonome/hsbSensorS0151,https://w3id.org/eautonome/hsbMeasurementPointS0151,https://w3id.org/eautonome/hsbRoomR037,https://w3id.org/eautonome/hsbAssetS0151,https://w3id.org/eautonome/hsbHotWater
